,change_type,history,osm_type,osm_id,geometry,tag_key,tag_value,start_ds,end_ds
42,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",operator,Japan goverment,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
43,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",leisure,nature_reserve,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
44,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name,대한민국 천연기념물 제 336호 독도 천연보호구역,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
45,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ko,대한민국 천연기념물 제336호 독도 천연보호구역,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
46,modify,new,way,853678581,"POLYGON ((131.8738459 37.2367241, 131.8738459 37.2493339, 131.8596494 37.2493339, 131.8596494 37.2367241, 131.8738459 37.2367241))",name:ru,Докдо,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
47,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:ja,竹島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
48,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",alt_name:en,Liancourt Rocks,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
49,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",alt_name:ja,リアンクール岩礁,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
50,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",alt_name:ko,리앙쿠르초,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
51,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",alt_name:ko-Latn,Tokto,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
52,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name,독도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
53,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:el,Ντόκτο,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
54,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:en,Dokdo Island,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
55,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:ko,독도,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
56,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:ko-Hani,獨島,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
57,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:ko-Latn,Dokdo,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
58,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:ru,Токто,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
59,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:th,เกาะดกโด,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
60,modify,old,relation,6646538,"POLYGON ((131.8727798 37.2378086, 131.8727798 37.2477724, 131.8612616 37.2477724, 131.8612616 37.2378086, 131.8727798 37.2378086))",name:zh,独岛,2022-01-22T08:00:00Z,2022-01-27T16:00:00Z
